nohup: ignoring input
nohup: ignoring input
(300, 1971, 2)
(300, 1971, 2)
(590100, 5, 2)
Step: 0, Loss: 591626.3125, Current Best Loss: 591626.3125, Computation time: 12.054574489593506
Step: 100, Loss: 586771.375, Current Best Loss: 5252.51953125, Computation time: 26.03412437438965
Step: 200, Loss: 575974.1875, Current Best Loss: 5058.287109375, Computation time: 17.652518033981323
Step: 300, Loss: 554031.6875, Current Best Loss: 4773.23583984375, Computation time: 17.57525110244751
Step: 400, Loss: 507131.71875, Current Best Loss: 4229.4306640625, Computation time: 17.592865705490112
Step: 500, Loss: 399500.96875, Current Best Loss: 3287.664306640625, Computation time: 17.954219818115234
Step: 600, Loss: 251816.5625, Current Best Loss: 2242.18798828125, Computation time: 19.248319625854492
Step: 700, Loss: 114881.4765625, Current Best Loss: 1423.5595703125, Computation time: 19.28294539451599
Step: 800, Loss: 65605.421875, Current Best Loss: 1097.893798828125, Computation time: 19.332109212875366
Step: 900, Loss: 47173.515625, Current Best Loss: 963.65966796875, Computation time: 19.223206281661987
Step: 1000, Loss: 41585.35546875, Current Best Loss: 952.6689453125, Computation time: 19.26780605316162
Step: 1100, Loss: 38057.421875, Current Best Loss: 951.31787109375, Computation time: 19.248974323272705
Step: 1200, Loss: 35623.8671875, Current Best Loss: 940.445068359375, Computation time: 19.319982290267944
Step: 1300, Loss: 33205.69140625, Current Best Loss: 938.8837890625, Computation time: 19.33128786087036
Step: 1400, Loss: 31070.90625, Current Best Loss: 936.541015625, Computation time: 19.273967742919922
Step: 1500, Loss: 29032.94140625, Current Best Loss: 932.5416259765625, Computation time: 19.394072771072388
Step: 1600, Loss: 26949.98046875, Current Best Loss: 932.5416259765625, Computation time: 19.351633071899414
Step: 1700, Loss: 25243.87109375, Current Best Loss: 930.3572387695312, Computation time: 19.330679893493652
Step: 1800, Loss: 23604.6328125, Current Best Loss: 929.0167236328125, Computation time: 19.461747884750366
Step: 1900, Loss: 22027.427734375, Current Best Loss: 929.0167236328125, Computation time: 20.491495609283447
Step: 2000, Loss: 20736.580078125, Current Best Loss: 929.0167236328125, Computation time: 19.90158462524414
Step: 2100, Loss: 19347.36328125, Current Best Loss: 927.9256591796875, Computation time: 19.770936489105225
Step: 2200, Loss: 18120.375, Current Best Loss: 927.9256591796875, Computation time: 19.70530652999878
Step: 2300, Loss: 16963.94921875, Current Best Loss: 926.8629150390625, Computation time: 19.684515237808228
Step: 2400, Loss: 16017.0498046875, Current Best Loss: 926.8629150390625, Computation time: 19.69162940979004
Step: 2500, Loss: 15202.0, Current Best Loss: 926.8629150390625, Computation time: 19.68009328842163
Step: 2600, Loss: 14507.0888671875, Current Best Loss: 926.8629150390625, Computation time: 19.52888512611389
Step: 2700, Loss: 13922.99609375, Current Best Loss: 926.8629150390625, Computation time: 19.481091499328613
Step: 2800, Loss: 13406.8623046875, Current Best Loss: 926.8629150390625, Computation time: 19.47836709022522
Step: 2900, Loss: 12976.3173828125, Current Best Loss: 926.8629150390625, Computation time: 19.49877142906189
Step: 3000, Loss: 12504.14453125, Current Best Loss: 926.8629150390625, Computation time: 19.46515965461731
Step: 3100, Loss: 12132.6953125, Current Best Loss: 926.8629150390625, Computation time: 19.501956462860107
Step: 3200, Loss: 11787.154296875, Current Best Loss: 926.8629150390625, Computation time: 19.43891668319702
Step: 3300, Loss: 11441.400390625, Current Best Loss: 926.8629150390625, Computation time: 19.37712812423706
Step: 3400, Loss: 11193.064453125, Current Best Loss: 926.8629150390625, Computation time: 19.295738458633423
Step: 3500, Loss: 10964.9541015625, Current Best Loss: 926.8629150390625, Computation time: 19.21809411048889
Step: 3600, Loss: 10736.0625, Current Best Loss: 926.8629150390625, Computation time: 19.300922632217407
Step: 3700, Loss: 10531.6630859375, Current Best Loss: 926.8629150390625, Computation time: 19.282382011413574
Step: 3800, Loss: 10366.908203125, Current Best Loss: 926.8629150390625, Computation time: 19.300984859466553
Step: 3900, Loss: 10152.974609375, Current Best Loss: 926.8629150390625, Computation time: 19.286672830581665
Step: 4000, Loss: 10022.353515625, Current Best Loss: 926.8629150390625, Computation time: 19.254354000091553
Step: 4100, Loss: 9858.669921875, Current Best Loss: 926.8629150390625, Computation time: 19.29952096939087
Step: 4200, Loss: 9747.0791015625, Current Best Loss: 926.8629150390625, Computation time: 19.117806673049927
Step: 4300, Loss: 9579.15625, Current Best Loss: 926.8629150390625, Computation time: 19.104080200195312
Step: 4400, Loss: 9405.5966796875, Current Best Loss: 926.8629150390625, Computation time: 19.108516693115234
Step: 4500, Loss: 9320.1025390625, Current Best Loss: 926.8629150390625, Computation time: 20.275492906570435
Step: 4600, Loss: 9222.2724609375, Current Best Loss: 926.8629150390625, Computation time: 19.62949299812317
Step: 4700, Loss: 9066.951171875, Current Best Loss: 926.8629150390625, Computation time: 19.576451539993286
Step: 4800, Loss: 8978.03515625, Current Best Loss: 926.8629150390625, Computation time: 19.50410771369934
Step: 4900, Loss: 8916.58984375, Current Best Loss: 926.8629150390625, Computation time: 19.476696491241455
Step: 5000, Loss: 8793.5859375, Current Best Loss: 926.8629150390625, Computation time: 19.451959371566772
Step: 5100, Loss: 8752.9580078125, Current Best Loss: 926.8629150390625, Computation time: 19.38069176673889
Step: 5200, Loss: 8626.7119140625, Current Best Loss: 926.8629150390625, Computation time: 19.380067586898804
Step: 5300, Loss: 8549.5205078125, Current Best Loss: 926.8629150390625, Computation time: 19.307175159454346
Step: 5400, Loss: 8428.3779296875, Current Best Loss: 926.8629150390625, Computation time: 19.250028610229492
Step: 5500, Loss: 8397.0771484375, Current Best Loss: 926.8629150390625, Computation time: 19.234598875045776
Step: 5600, Loss: 8285.732421875, Current Best Loss: 926.8629150390625, Computation time: 19.192050218582153
Step: 5700, Loss: 8270.3359375, Current Best Loss: 926.8629150390625, Computation time: 19.14453363418579
Step: 5800, Loss: 8230.5703125, Current Best Loss: 926.8629150390625, Computation time: 19.182817697525024
Step: 5900, Loss: 8174.34228515625, Current Best Loss: 926.8629150390625, Computation time: 19.119006156921387
Step: 6000, Loss: 8147.751953125, Current Best Loss: 926.8629150390625, Computation time: 19.102100372314453
Step: 6100, Loss: 8016.6787109375, Current Best Loss: 926.8629150390625, Computation time: 19.04716730117798
Step: 6200, Loss: 8037.904296875, Current Best Loss: 926.8629150390625, Computation time: 19.06945776939392
Step: 6300, Loss: 8003.06298828125, Current Best Loss: 926.8629150390625, Computation time: 19.03923010826111
Step: 6400, Loss: 7987.2666015625, Current Best Loss: 926.8629150390625, Computation time: 18.701579809188843
Step: 6500, Loss: 7909.3017578125, Current Best Loss: 926.8629150390625, Computation time: 18.27120876312256
Step: 6600, Loss: 7873.17041015625, Current Best Loss: 926.8629150390625, Computation time: 18.18146276473999
Step: 6700, Loss: 7846.26806640625, Current Best Loss: 926.8629150390625, Computation time: 18.20344591140747
Step: 6800, Loss: 7809.15234375, Current Best Loss: 926.8629150390625, Computation time: 18.119534969329834
Step: 6900, Loss: 7827.9638671875, Current Best Loss: 926.8629150390625, Computation time: 18.09461784362793
Step: 7000, Loss: 7773.01611328125, Current Best Loss: 926.8629150390625, Computation time: 18.280706644058228
Step: 7100, Loss: 7745.2646484375, Current Best Loss: 926.8629150390625, Computation time: 18.92964220046997
Step: 7200, Loss: 7727.8369140625, Current Best Loss: 926.8629150390625, Computation time: 19.20346450805664
Step: 7300, Loss: 7686.4072265625, Current Best Loss: 926.8629150390625, Computation time: 19.279036045074463
Step: 7400, Loss: 7704.67041015625, Current Best Loss: 926.8629150390625, Computation time: 19.160332441329956
Step: 7500, Loss: 7624.85205078125, Current Best Loss: 926.8629150390625, Computation time: 18.960370540618896
Step: 7600, Loss: 7619.470703125, Current Best Loss: 926.8629150390625, Computation time: 18.923163890838623
Step: 7700, Loss: 7534.22314453125, Current Best Loss: 926.8629150390625, Computation time: 18.709416389465332
nohup: ignoring input
(300, 1971, 2)
(300, 1971, 2)
(590100, 5, 2)
Step: 0, Loss: 591626.3125, Current Best Loss: inf, Computation time: 11.828112602233887
Step: 100, Loss: 586771.375, Current Best Loss: inf, Computation time: 25.07944130897522
Step: 200, Loss: 575974.1875, Current Best Loss: inf, Computation time: 17.434948921203613
Step: 300, Loss: 554031.6875, Current Best Loss: inf, Computation time: 17.570973873138428
Step: 400, Loss: 507131.71875, Current Best Loss: inf, Computation time: 17.609312057495117
Step: 500, Loss: 399500.96875, Current Best Loss: inf, Computation time: 17.97729754447937
Step: 600, Loss: 251816.5625, Current Best Loss: inf, Computation time: 19.319905996322632
Step: 700, Loss: 114881.4765625, Current Best Loss: inf, Computation time: 19.323626041412354
Step: 800, Loss: 65605.421875, Current Best Loss: inf, Computation time: 19.2928249835968
Step: 900, Loss: 47173.515625, Current Best Loss: inf, Computation time: 19.281745672225952
Step: 1000, Loss: 41585.35546875, Current Best Loss: inf, Computation time: 19.375203609466553
Step: 1100, Loss: 38057.421875, Current Best Loss: inf, Computation time: 19.262259483337402
Step: 1200, Loss: 35623.8671875, Current Best Loss: inf, Computation time: 19.31088614463806
Step: 1300, Loss: 33205.69140625, Current Best Loss: inf, Computation time: 19.35736846923828
Step: 1400, Loss: 31070.90625, Current Best Loss: inf, Computation time: 19.317991256713867
Step: 1500, Loss: 29032.94140625, Current Best Loss: inf, Computation time: 19.37157940864563
Step: 1600, Loss: 26949.98046875, Current Best Loss: inf, Computation time: 19.410754919052124
nohup: ignoring input
(300, 1971, 2)
(300, 1971, 2)
(588600, 10, 2)
Step: 0, Loss: 1179564.0, Current Best Loss: inf, Computation time: 12.229768514633179
Step: 100, Loss: 193226.71875, Current Best Loss: inf, Computation time: 30.768975496292114
Step: 200, Loss: 61750.87890625, Current Best Loss: inf, Computation time: 21.280231952667236
Step: 300, Loss: 37592.765625, Current Best Loss: inf, Computation time: 21.44773244857788
Step: 400, Loss: 34791.15625, Current Best Loss: inf, Computation time: 21.366100788116455
Step: 500, Loss: 30786.84765625, Current Best Loss: inf, Computation time: 21.34606432914734
Step: 600, Loss: 29325.63671875, Current Best Loss: inf, Computation time: 21.28102469444275
Step: 700, Loss: 27694.484375, Current Best Loss: inf, Computation time: 21.306354522705078
Step: 800, Loss: 24730.69140625, Current Best Loss: inf, Computation time: 21.187822818756104
Step: 900, Loss: 26468.93359375, Current Best Loss: inf, Computation time: 21.151885747909546
Step: 1000, Loss: 25740.6484375, Current Best Loss: inf, Computation time: 21.135399103164673
Step: 1100, Loss: 24867.34375, Current Best Loss: inf, Computation time: 20.906035661697388
Step: 1200, Loss: 25967.00390625, Current Best Loss: inf, Computation time: 21.116044759750366
Step: 1300, Loss: 24773.89453125, Current Best Loss: inf, Computation time: 21.34570598602295
Step: 1400, Loss: 24735.796875, Current Best Loss: inf, Computation time: 21.29717183113098
Step: 1500, Loss: 24523.61328125, Current Best Loss: inf, Computation time: 21.105353593826294
Step: 1600, Loss: 24809.845703125, Current Best Loss: inf, Computation time: 21.182056665420532
Step: 1700, Loss: 22920.4296875, Current Best Loss: inf, Computation time: 21.156991720199585
Step: 1800, Loss: 24244.533203125, Current Best Loss: inf, Computation time: 21.146907091140747
Step: 1900, Loss: 23545.791015625, Current Best Loss: inf, Computation time: 22.146803855895996
Step: 2000, Loss: 23038.16015625, Current Best Loss: inf, Computation time: 21.45113205909729
Step: 2100, Loss: 23361.8125, Current Best Loss: inf, Computation time: 21.501514434814453
Step: 2200, Loss: 23029.50390625, Current Best Loss: inf, Computation time: 21.400992393493652
Step: 2300, Loss: 22292.205078125, Current Best Loss: inf, Computation time: 21.34190273284912
Step: 2400, Loss: 22839.015625, Current Best Loss: inf, Computation time: 21.37360644340515
Step: 2500, Loss: 22950.09375, Current Best Loss: inf, Computation time: 21.29959988594055
Step: 2600, Loss: 21041.59765625, Current Best Loss: inf, Computation time: 21.23260188102722
Step: 2700, Loss: 21877.93359375, Current Best Loss: inf, Computation time: 21.277854442596436
Step: 2800, Loss: 21426.0546875, Current Best Loss: inf, Computation time: 21.174346208572388
Step: 2900, Loss: 22527.330078125, Current Best Loss: inf, Computation time: 21.15627908706665
Step: 3000, Loss: 23350.31640625, Current Best Loss: inf, Computation time: 21.11119508743286
